t_ms	level_dbfs
257.25	-40.1714285714
257.333333333	-40.1714285714
257.416666667	-40.1714285714
257.5	-40.1714285714
257.583333333	-40.1714285714
257.666666667	-40.1714285714
257.75	-40.1714285714
257.833333333	-40.1714285714
257.916666667	-40.1714285714
258	-40.1714285714
258.083333333	-40.1714285714
258.166666667	-40.1714285714
258.25	-40.1714285714
258.333333333	-40.1714285714
258.416666667	-40.1714285714
258.5	-40.1714285714
258.583333333	-40.1714285714
258.666666667	-40.1714285714
258.75	-40.1714285714
258.833333333	-40.1714285714
258.916666667	-40.1714285714
259	-40.1714285714
259.083333333	-40.1714285714
259.166666667	-40.1714285714
259.25	-40.1714285714
259.333333333	-40.1714285714
259.416666667	-40.1714285714
259.5	-40.1714285714
259.583333333	-40.1714285714
259.666666667	-40.1714285714
259.75	-40.1714285714
259.833333333	-40.1714285714
259.916666667	-40.1714285714
260	-40.1714285714
260.083333333	-40.1714285714
260.166666667	-40.1714285714
260.25	-40.1714285714
260.333333333	-40.1714285714
260.416666667	-40.1714285714
260.5	-40.1714285714
260.583333333	-40.1714285714
260.666666667	-40.1714285714
260.75	-40.1714285714
260.833333333	-40.1714285714
260.916666667	-40.1714285714
261	-40.1714285714
261.083333333	-40.1714285714
261.166666667	-40.1714285714
261.25	-40.1714285714
261.333333333	-40.1714285714
261.416666667	-40.1714285714
